time,ax,ay,az,aT
0.8420,-0.0720,0.0921,-0.1115,0.162
0.8460,-0.0867,0.0794,-0.1812,0.216
0.8580,-0.0553,0.0794,-0.2195,0.240
0.8670,-0.1262,0.0323,-0.3346,0.359
0.8780,-0.1933,-0.0361,-0.3797,0.428
0.8860,-0.0808,-0.0390,-0.3411,0.353
0.8970,0.1259,-0.0241,-0.1277,0.181
0.9070,0.2868,-0.0673,0.0567,0.300
0.9180,-0.2490,-0.1527,0.4463,0.533
0.9260,-0.4081,-0.1280,0.3395,0.546
0.9360,-0.2884,-0.0089,0.0550,0.294
0.9470,-0.2787,-0.0134,0.0583,0.285
0.9580,0.0424,0.1159,-0.2521,0.281
0.9670,0.2193,-0.0415,-0.3667,0.429
0.9780,0.2192,-0.1793,-0.3230,0.430
0.9860,0.2192,-0.1790,-0.3231,0.430
0.9980,0.1292,-0.1703,-0.3456,0.406
1.0070,0.0491,-0.0725,-0.1685,0.190
1.0190,-0.7335,-0.0657,0.0588,0.739
1.0300,-0.1017,0.4663,-0.0290,0.478
1.0390,0.2214,0.6934,0.2326,0.764
1.0470,0.0004,0.2636,0.9726,1.008
1.0570,-0.3144,-0.3475,0.9343,1.045
1.0650,-0.0988,-0.5671,0.5262,0.780
1.0780,0.1277,-0.2489,0.3606,0.456
1.0860,0.0671,0.0530,0.2178,0.234
1.1000,-0.1900,0.0971,0.0069,0.214
1.1110,-0.3375,0.1421,-0.2770,0.459
1.1180,-0.2979,0.1974,-0.5706,0.673
1.1270,-0.1538,0.2535,-0.8966,0.944
1.1380,0.0059,0.2171,-0.9360,0.961
1.1470,0.1167,0.0419,-0.8190,0.828
1.1590,0.2076,-0.1247,-0.5500,0.601
1.1680,0.2522,-0.1616,0.2112,0.367
1.1780,0.1711,-0.1953,0.8012,0.842
1.1850,0.3118,-0.0591,0.5478,0.633
1.1960,0.2634,0.0938,0.1511,0.318
1.2100,-0.0819,0.0935,0.2368,0.267
1.2170,-0.2316,0.0407,0.4812,0.536
1.2280,-0.1422,0.0604,0.5246,0.547
1.2390,0.0080,0.0843,0.4292,0.437
1.2460,0.2479,0.0727,0.1206,0.285
1.2580,0.1871,0.0122,-0.0918,0.209
1.2660,-0.0388,-0.0954,-0.2022,0.227
1.2780,-0.0390,-0.1444,-0.2183,0.265
1.2860,0.0151,-0.0802,-0.0563,0.099
1.2980,-0.0417,-0.0219,0.0689,0.083
1.3090,-0.0896,0.0065,0.0829,0.122
1.3160,-0.1499,-0.0065,-0.0152,0.151
1.3290,-0.0333,-0.0095,-0.2962,0.298
1.3370,0.1040,-0.0336,-0.4725,0.485
1.3470,0.0479,-0.0545,-0.4766,0.482
1.3580,-0.2711,-0.0827,-0.6447,0.704
1.3650,-0.6095,-0.2788,-1.4850,1.629
1.3780,-0.6879,-0.1027,-0.7277,1.007
1.3850,-0.8829,-0.0489,-0.1840,0.903
1.3960,-0.7411,0.0803,-0.4193,0.855
1.4110,-0.2774,0.2661,-0.4137,0.565
1.4170,-0.1391,0.3043,0.0783,0.344
1.4280,-0.4265,0.1974,0.4305,0.637
1.4400,-0.8323,0.0375,0.4887,0.966
1.4470,-0.8949,0.1434,0.4959,1.033
1.4620,-0.5480,0.4485,0.4942,0.864
1.4710,-0.3539,0.5574,0.3145,0.731
1.4760,-0.7312,0.7901,0.0791,1.079
1.4850,-0.6161,0.6202,-0.4820,0.998
1.4960,-0.1544,0.2333,-0.9856,1.025
1.5070,0.4385,-0.0085,-0.5026,0.667
1.5160,0.8518,-0.3709,-0.4122,1.016
1.5260,1.0243,-0.7486,-0.5441,1.380
1.5360,1.2867,-0.6620,0.1386,1.454
1.5470,2.0820,-0.5320,0.8921,2.327
1.5600,2.0947,-0.8203,0.6786,2.350
1.5660,1.3643,-0.8894,0.3826,1.673
1.5770,0.6886,-0.8115,-0.0152,1.064
1.5850,0.3704,-0.5629,0.0470,0.675
1.5970,0.2204,-0.2958,0.1453,0.396
1.6080,0.0352,-0.1864,0.2334,0.301
1.6160,-0.0016,-0.0689,0.3589,0.365
