time,gFx,gFy,gFz,TgF
16.922000,-0.2405,-0.0382,0.9577,0.988
16.923000,-0.2511,-0.0420,0.9709,1.004
16.927000,-0.2599,-0.0443,0.9842,1.019
16.933000,-0.2697,-0.0490,0.9901,1.027
16.939000,-0.2720,-0.0501,0.9864,1.024
16.943000,-0.2671,-0.0493,0.9802,1.017
16.966000,-0.2585,-0.0447,0.9747,1.009
16.969000,-0.2469,-0.0385,0.9683,1.000
16.973000,-0.2402,-0.0324,0.9645,0.994
16.976000,-0.2354,-0.0285,0.9632,0.992
16.979000,-0.2343,-0.0230,0.9682,0.996
16.980000,-0.2344,-0.0192,0.9745,1.003
16.982000,-0.2345,-0.0144,0.9824,1.010
16.983000,-0.2312,-0.0120,0.9854,1.012
16.988000,-0.2282,-0.0098,0.9870,1.013
16.992000,-0.2246,-0.0079,0.9865,1.012
16.999000,-0.2213,-0.0092,0.9896,1.014
17.003000,-0.2206,-0.0104,0.9965,1.021
17.007000,-0.2216,-0.0110,1.0014,1.026
17.012000,-0.2228,-0.0133,1.0056,1.030
17.018000,-0.2273,-0.0172,1.0089,1.034
17.022000,-0.2383,-0.0194,1.0136,1.041
17.027000,-0.2458,-0.0232,1.0125,1.042
17.032000,-0.2463,-0.0254,1.0100,1.040
17.038000,-0.2442,-0.0230,1.0063,1.036
17.041000,-0.2382,-0.0183,0.9955,1.024
17.047000,-0.2331,-0.0150,0.9879,1.015
17.052000,-0.2287,-0.0137,0.9843,1.011
17.058000,-0.2278,-0.0166,0.9777,1.004
17.062000,-0.2253,-0.0184,0.9719,0.998
17.067000,-0.2271,-0.0192,0.9631,0.990
17.073000,-0.2312,-0.0208,0.9585,0.986
17.078000,-0.2322,-0.0214,0.9622,0.990
17.083000,-0.2157,-0.0145,0.9569,0.981
17.087000,-0.2007,-0.0088,0.9482,0.969
17.092000,-0.1951,-0.0079,0.9411,0.961
17.103000,-0.2003,-0.0092,0.9379,0.959
17.105000,-0.2124,-0.0138,0.9362,0.960
17.107000,-0.2522,-0.0269,0.9347,0.969
17.111000,-0.3869,-0.0545,0.9550,1.032
17.117000,-0.5527,-0.0829,1.0114,1.156
17.121000,-0.5262,-0.0465,1.0389,1.166
17.127000,-0.3941,0.0184,1.0199,1.093
17.131000,-0.3042,0.0586,0.9557,1.005
17.139000,-0.2431,0.0789,0.9001,0.936
17.141000,-0.2239,0.0647,0.8601,0.891
17.147000,-0.2122,0.0425,0.8349,0.863
17.152000,-0.2281,0.0118,0.8227,0.854
17.158000,-0.2526,-0.0018,0.8349,0.872
17.161000,-0.2715,-0.0037,0.8683,0.910
17.167000,-0.2833,0.0038,0.9135,0.956
17.171000,-0.2841,0.0153,0.9728,1.014
17.186000,-0.2788,0.0206,1.0146,1.052
17.189000,-0.2726,0.0208,1.0465,1.082
17.191000,-0.2652,0.0151,1.0622,1.095
17.195000,-0.2564,0.0086,1.0642,1.095
17.201000,-0.2475,-0.0004,1.0512,1.080
17.205000,-0.2411,-0.0082,1.0343,1.062
17.208000,-0.2386,-0.0123,1.0170,1.045
17.224000,-0.2414,-0.0154,1.0048,1.034
17.228000,-0.2496,-0.0188,0.9897,1.021
17.233000,-0.2563,-0.0193,0.9780,1.011
17.235000,-0.2602,-0.0213,0.9660,1.001
17.237000,-0.2653,-0.0217,0.9583,0.995
17.240000,-0.2723,-0.0216,0.9562,0.994
17.244000,-0.2734,-0.0205,0.9549,0.993
17.254000,-0.2700,-0.0191,0.9473,0.985
17.255000,-0.2668,-0.0191,0.9320,0.970
17.258000,-0.2632,-0.0160,0.9153,0.953
17.262000,-0.2634,-0.0198,0.9012,0.939
17.268000,-0.2681,-0.0247,0.8928,0.933
17.272000,-0.2757,-0.0303,0.8835,0.926
17.283000,-0.2860,-0.0376,0.8768,0.923
17.284000,-0.2951,-0.0426,0.8714,0.921
17.287000,-0.3040,-0.0458,0.8743,0.927
17.292000,-0.3103,-0.0443,0.8838,0.938
17.299000,-0.3154,-0.0410,0.8942,0.949
17.302000,-0.3185,-0.0396,0.9010,0.956
17.307000,-0.3208,-0.0374,0.9015,0.958
17.312000,-0.3198,-0.0380,0.8971,0.953
17.323000,-0.3180,-0.0382,0.8879,0.944
17.323000,-0.3169,-0.0419,0.8807,0.937
17.326000,-0.3150,-0.0441,0.8784,0.934
17.334000,-0.3167,-0.0465,0.8775,0.934
17.338000,-0.3197,-0.0487,0.8769,0.935
17.341000,-0.3219,-0.0526,0.8710,0.930
17.347000,-0.3268,-0.0539,0.8667,0.928
17.351000,-0.3309,-0.0578,0.8608,0.924
17.358000,-0.3396,-0.0613,0.8541,0.921
17.362000,-0.3483,-0.0672,0.8466,0.918
17.367000,-0.3552,-0.0710,0.8548,0.928
17.372000,-0.3529,-0.0718,0.8658,0.938
17.378000,-0.3448,-0.0699,0.8711,0.939
17.385000,-0.3351,-0.0666,0.8749,0.939
17.388000,-0.3308,-0.0662,0.8635,0.927
17.393000,-0.3281,-0.0738,0.8404,0.905
17.402000,-0.3299,-0.0823,0.8376,0.904
17.405000,-0.3467,-0.0894,0.8383,0.912
17.407000,-0.3667,-0.0917,0.8317,0.914
17.412000,-0.3811,-0.0922,0.8272,0.915
17.440000,-0.3894,-0.0843,0.8150,0.907
17.442000,-0.3969,-0.0768,0.8073,0.903
17.443000,-0.4012,-0.0832,0.7966,0.896
17.443000,-0.4080,-0.1003,0.7563,0.865
17.444000,-0.4332,-0.1137,0.7321,0.858
17.444000,-0.4465,-0.1105,0.7337,0.866
17.447000,-0.4396,-0.0883,0.7412,0.866
17.451000,-0.4172,-0.0617,0.7405,0.852
17.458000,-0.3958,-0.0514,0.7277,0.830
17.467000,-0.4080,-0.0671,0.7190,0.829
17.468000,-0.4371,-0.0920,0.7262,0.853
17.472000,-0.4614,-0.1099,0.7542,0.891
17.477000,-0.4672,-0.1096,0.7916,0.926
17.484000,-0.4561,-0.0941,0.8295,0.951
17.486000,-0.4494,-0.0880,0.8504,0.966
17.491000,-0.4460,-0.0923,0.8657,0.978
17.498000,-0.4506,-0.1079,0.8633,0.980
17.502000,-0.4659,-0.1416,0.8506,0.980
17.507000,-0.4731,-0.1660,0.8451,0.983
17.512000,-0.4652,-0.1787,0.8403,0.977
17.518000,-0.4529,-0.1726,0.8342,0.965
17.522000,-0.4455,-0.1555,0.8238,0.949
17.527000,-0.4360,-0.1289,0.8038,0.923
17.534000,-0.4217,-0.1088,0.7947,0.906
17.541000,-0.4079,-0.1015,0.7903,0.895
17.543000,-0.4035,-0.1057,0.7858,0.890
17.573000,-0.4189,-0.1272,0.7785,0.893
17.576000,-0.4346,-0.1472,0.7818,0.906
17.579000,-0.4473,-0.1652,0.7974,0.929
17.581000,-0.4576,-0.1748,0.8188,0.954
17.584000,-0.4627,-0.1797,0.8354,0.972
17.585000,-0.4600,-0.1792,0.8367,0.972
17.586000,-0.4551,-0.1793,0.8346,0.967
17.588000,-0.4490,-0.1804,0.8311,0.962
17.590000,-0.4423,-0.1879,0.8267,0.956
17.595000,-0.4368,-0.2028,0.8200,0.951
17.601000,-0.4356,-0.2169,0.8137,0.948
17.604000,-0.4354,-0.2270,0.8085,0.946
17.608000,-0.4394,-0.2311,0.8028,0.944
17.612000,-0.4564,-0.2329,0.7825,0.935
17.618000,-0.4729,-0.2265,0.7553,0.919
17.622000,-0.4843,-0.2195,0.7260,0.900
17.627000,-0.4939,-0.2128,0.6988,0.882
17.634000,-0.5123,-0.2130,0.6832,0.880
17.638000,-0.5327,-0.2169,0.6856,0.895
17.642000,-0.5574,-0.2195,0.7046,0.925
17.647000,-0.5824,-0.2173,0.7379,0.965
17.652000,-0.6229,-0.2069,0.7701,1.012
17.658000,-0.6856,-0.1901,0.7801,1.056
17.662000,-0.7277,-0.1816,0.7633,1.070
17.668000,-0.7545,-0.1748,0.7306,1.065
17.672000,-0.7709,-0.1738,0.6918,1.050
17.678000,-0.7876,-0.1733,0.6365,1.027
17.688000,-0.8055,-0.1677,0.5960,1.016
17.692000,-0.8319,-0.1526,0.5527,1.010
17.695000,-0.8626,-0.1300,0.4957,1.003
17.705000,-0.8957,-0.1011,0.4299,0.999
17.710000,-0.9464,-0.0679,0.3562,1.014
17.716000,-0.9937,-0.0468,0.3104,1.042
17.721000,-1.0423,-0.0300,0.2735,1.078
17.724000,-1.0796,-0.0204,0.2424,1.107
17.726000,-1.1286,-0.0121,0.2235,1.151
17.729000,-1.1835,-0.0044,0.2167,1.203
17.733000,-1.2397,0.0054,0.2066,1.257
17.739000,-1.2807,0.0161,0.2016,1.297
17.744000,-1.3055,0.0304,0.2209,1.324
17.752000,-1.3185,0.0408,0.2573,1.344
17.753000,-1.3241,0.0514,0.3016,1.359
17.763000,-1.3197,0.0629,0.3501,1.367
17.764000,-1.3113,0.0711,0.4027,1.374
17.772000,-1.2989,0.0788,0.4587,1.380
17.773000,-1.2807,0.0801,0.4909,1.374
17.778000,-1.2521,0.0765,0.5143,1.356
17.783000,-1.2231,0.0657,0.5426,1.340
17.787000,-1.1868,0.0454,0.5839,1.323
17.792000,-1.1652,0.0305,0.6191,1.320
17.799000,-1.1460,0.0215,0.6573,1.321
17.802000,-1.1227,0.0139,0.6927,1.319
17.807000,-1.0977,0.0079,0.7246,1.315
17.812000,-1.0701,0.0006,0.7592,1.312
17.819000,-1.0600,-0.0039,0.7770,1.314
17.823000,-1.0534,-0.0109,0.7902,1.317
17.827000,-1.0466,-0.0181,0.8035,1.320
17.839000,-1.0370,-0.0282,0.8195,1.322
17.841000,-1.0236,-0.0336,0.8269,1.316
17.843000,-1.0041,-0.0407,0.8281,1.302
17.849000,-0.9784,-0.0430,0.8214,1.278
17.852000,-0.9424,-0.0479,0.8029,1.239
17.858000,-0.9198,-0.0526,0.7826,1.209
17.862000,-0.9077,-0.0617,0.7554,1.183
17.867000,-0.8961,-0.0738,0.7220,1.153
17.872000,-0.8797,-0.0895,0.6887,1.121
17.878000,-0.8514,-0.1101,0.6547,1.080
17.883000,-0.8240,-0.1248,0.6374,1.049
17.887000,-0.7956,-0.1394,0.6356,1.028
17.892000,-0.7763,-0.1460,0.6475,1.021
17.900000,-0.7668,-0.1521,0.6513,1.017
17.902000,-0.7603,-0.1581,0.6392,1.006
17.907000,-0.7486,-0.1670,0.6240,0.989
17.912000,-0.7324,-0.1801,0.6166,0.974
17.926000,-0.7225,-0.1969,0.6255,0.976
17.927000,-0.7224,-0.2055,0.6352,0.984
17.927000,-0.7169,-0.2077,0.6418,0.984
17.934000,-0.7076,-0.2041,0.6525,0.984
17.939000,-0.7118,-0.2001,0.6714,0.999
17.942000,-0.7393,-0.1947,0.6841,1.026
17.952000,-0.7550,-0.1915,0.6750,1.031
17.952000,-0.7528,-0.1902,0.6626,1.021
17.960000,-0.7396,-0.1928,0.6458,1.001
17.963000,-0.7229,-0.1963,0.6374,0.984
17.971000,-0.7130,-0.2000,0.6331,0.974
17.975000,-0.6948,-0.2023,0.6266,0.957
17.979000,-0.6672,-0.2042,0.6216,0.935
17.987000,-0.6367,-0.2077,0.6236,0.915
17.990000,-0.6077,-0.2138,0.6342,0.904
17.995000,-0.5975,-0.2194,0.6506,0.910
18.003000,-0.5939,-0.2251,0.6716,0.924
18.006000,-0.5913,-0.2274,0.6929,0.939
18.008000,-0.5883,-0.2311,0.7175,0.956
18.012000,-0.5867,-0.2314,0.7282,0.963
18.018000,-0.5849,-0.2300,0.7341,0.966
18.022000,-0.5882,-0.2271,0.7363,0.969
18.027000,-0.5917,-0.2240,0.7263,0.963
18.035000,-0.5893,-0.2228,0.7151,0.953
18.038000,-0.5857,-0.2267,0.7030,0.943
18.042000,-0.5872,-0.2331,0.6980,0.941
18.047000,-0.5932,-0.2381,0.7016,0.949
18.052000,-0.6043,-0.2413,0.7124,0.965
18.058000,-0.6095,-0.2422,0.7249,0.978
18.062000,-0.6110,-0.2408,0.7411,0.990
18.068000,-0.6132,-0.2400,0.7599,1.006
18.072000,-0.6163,-0.2399,0.7709,1.016
18.078000,-0.6127,-0.2426,0.7743,1.017
18.083000,-0.6038,-0.2444,0.7731,1.011
18.087000,-0.5976,-0.2476,0.7719,1.007
18.092000,-0.5992,-0.2511,0.7735,1.010
18.105000,-0.5949,-0.2522,0.7732,1.008
18.108000,-0.5867,-0.2531,0.7710,1.001
18.111000,-0.5785,-0.2535,0.7704,0.996
18.114000,-0.5799,-0.2560,0.7719,0.999
18.122000,-0.5861,-0.2601,0.7686,1.001
18.126000,-0.5847,-0.2630,0.7653,0.998
18.128000,-0.5774,-0.2658,0.7569,0.988
18.144000,-0.5751,-0.2681,0.7503,0.983
18.147000,-0.5780,-0.2719,0.7417,0.979
18.150000,-0.5793,-0.2720,0.7335,0.973
18.153000,-0.5823,-0.2734,0.7321,0.975
18.153000,-0.5896,-0.2697,0.7321,0.978
18.159000,-0.5953,-0.2673,0.7261,0.976
18.162000,-0.5950,-0.2615,0.7180,0.968
18.167000,-0.5893,-0.2587,0.7140,0.961
18.172000,-0.5844,-0.2568,0.7142,0.958
18.178000,-0.5856,-0.2526,0.7173,0.960
18.184000,-0.5844,-0.2502,0.7168,0.958
18.188000,-0.5802,-0.2489,0.7166,0.955
18.192000,-0.5730,-0.2489,0.7184,0.952
18.202000,-0.5686,-0.2493,0.7257,0.955
18.203000,-0.5685,-0.2509,0.7383,0.965
18.208000,-0.5691,-0.2519,0.7600,0.982
18.212000,-0.5692,-0.2518,0.7832,1.000
18.220000,-0.5680,-0.2553,0.8025,1.016
18.223000,-0.5639,-0.2571,0.8179,1.026
18.228000,-0.5591,-0.2597,0.8277,1.032
18.245000,-0.5578,-0.2597,0.8292,1.033
18.249000,-0.5595,-0.2591,0.8216,1.027
18.252000,-0.5574,-0.2569,0.8109,1.017
18.255000,-0.5488,-0.2533,0.7889,0.994
18.257000,-0.5432,-0.2494,0.7692,0.974
18.266000,-0.5431,-0.2459,0.7545,0.962
18.270000,-0.5530,-0.2431,0.7400,0.955
18.273000,-0.5618,-0.2397,0.7251,0.948
18.276000,-0.5690,-0.2354,0.7122,0.941
18.278000,-0.5757,-0.2354,0.7096,0.944
18.285000,-0.5816,-0.2356,0.7155,0.952
18.288000,-0.5891,-0.2365,0.7280,0.966
18.292000,-0.5945,-0.2386,0.7449,0.982
18.300000,-0.5945,-0.2397,0.7602,0.994
18.303000,-0.5965,-0.2421,0.7710,1.004
18.307000,-0.5934,-0.2447,0.7803,1.010
18.312000,-0.5920,-0.2467,0.7895,1.017
18.318000,-0.5916,-0.2503,0.7962,1.023
18.322000,-0.5888,-0.2486,0.7968,1.021
18.328000,-0.5828,-0.2488,0.7936,1.016
18.336000,-0.5751,-0.2493,0.7929,1.011
18.344000,-0.5647,-0.2497,0.7916,1.004
18.346000,-0.5548,-0.2530,0.7964,1.003
18.348000,-0.5457,-0.2536,0.8044,1.005
18.357000,-0.5358,-0.2557,0.8149,1.008
18.359000,-0.5365,-0.2625,0.8324,1.024
18.362000,-0.5410,-0.2709,0.8541,1.047
18.369000,-0.5427,-0.2731,0.8778,1.068
18.373000,-0.5426,-0.2761,0.8984,1.085
18.379000,-0.5441,-0.2791,0.9161,1.101
18.389000,-0.5514,-0.2810,0.9373,1.123
18.393000,-0.5536,-0.2819,0.9451,1.131
18.395000,-0.5525,-0.2811,0.9429,1.128
18.404000,-0.5499,-0.2797,0.9337,1.119
18.408000,-0.5382,-0.2785,0.9268,1.107
