time,ax,ay,az,aT
0.9010,0.2425,-0.2081,-0.0056,0.320
0.9070,0.3335,-0.0534,0.1805,0.383
0.9160,0.3348,0.0651,0.1719,0.382
0.9270,0.1019,0.0697,0.0874,0.151
0.9370,-0.2206,0.0031,-0.0793,0.234
0.9460,-0.3881,-0.0002,-0.1662,0.422
0.9560,-0.3290,0.0823,-0.1080,0.356
0.9670,-0.2802,0.0956,-0.1539,0.334
0.9800,-0.2473,0.0220,-0.2331,0.341
0.9910,-0.2789,-0.0914,-0.3487,0.456
0.9960,-0.2607,-0.1216,-0.3292,0.437
1.0070,-0.1196,-0.0297,-0.2489,0.278
1.0160,-0.0070,0.0444,-0.2582,0.262
1.0280,-0.0554,0.0512,-0.2540,0.265
1.0400,-0.0982,0.0053,-0.1907,0.215
1.0470,-0.1710,-0.0264,-0.1694,0.242
1.0560,-0.1688,-0.0409,-0.2009,0.266
1.0670,-0.0828,-0.0524,-0.2123,0.234
1.0780,0.0202,-0.0773,-0.1403,0.161
1.0930,0.0953,-0.0741,-0.0655,0.137
1.0970,0.0461,-0.0531,0.0089,0.071
1.1080,-0.0844,-0.0299,0.1135,0.145
1.1150,-0.1586,-0.0550,0.1134,0.203
1.1270,-0.1592,-0.0676,0.0525,0.181
1.1410,-0.0913,-0.0581,-0.0462,0.118
1.1470,0.0252,-0.0322,-0.3091,0.312
1.1570,0.0034,-0.0934,-0.2735,0.289
1.1660,-0.0168,-0.1354,-0.2031,0.245
1.1790,-0.0395,-0.1470,-0.1438,0.209
1.1970,-0.0860,-0.1099,-0.1149,0.181
1.1970,-0.0899,-0.0287,-0.1651,0.190
1.2080,-0.0503,0.0325,-0.3188,0.324
1.2160,0.0347,0.0042,-0.4055,0.407
1.2270,0.0216,-0.0643,-0.4086,0.414
1.2360,-0.0252,-0.1230,-0.3728,0.393
1.2460,-0.0642,-0.1285,-0.3178,0.349
1.2560,-0.1128,-0.1158,-0.1058,0.193
1.2660,-0.0096,-0.0649,0.1438,0.158
1.2770,0.1274,-0.0238,0.3637,0.386
1.2920,0.1921,-0.0512,0.3362,0.391
1.2960,0.2567,-0.0759,0.1381,0.301
1.3080,0.2460,-0.0449,-0.0332,0.252
1.3160,0.1673,-0.0227,-0.2226,0.279
1.3280,0.1107,-0.0269,-0.2858,0.308
1.3380,0.0332,-0.0810,-0.1743,0.195
1.3480,0.0211,-0.1200,-0.0678,0.139
1.3630,0.0579,-0.1564,-0.0129,0.167
1.3670,0.0535,-0.1555,0.0097,0.165
1.3790,-0.0044,-0.1451,-0.0336,0.149
1.3910,-0.0196,-0.1203,-0.1487,0.192
1.3960,0.0390,-0.0836,-0.1907,0.212
1.4080,0.0456,-0.0705,-0.1441,0.167
1.4160,0.0664,-0.0975,-0.1709,0.208
1.4270,0.0766,-0.1216,-0.0900,0.170
1.4360,0.0813,-0.0813,0.0748,0.137
1.4470,0.1480,-0.0807,0.0664,0.181
1.4650,0.0656,-0.0792,0.0551,0.117
1.4720,-0.0516,-0.0924,0.0418,0.114
1.4880,-0.0591,-0.0787,0.0157,0.100
