time,ax,ay,az,aT
0.7840,-0.2683,-0.1641,-0.2532,0.404
0.7900,-0.2278,-0.1807,-0.0587,0.297
0.7990,-0.1923,-0.1160,0.1192,0.254
0.8120,-0.1647,0.0145,0.2086,0.266
0.8200,-0.0393,0.0698,0.0936,0.123
0.8310,0.0496,0.0966,-0.0223,0.111
0.8390,0.0328,0.1113,0.0343,0.121
0.8510,-0.1019,0.1134,0.2782,0.317
0.8590,-0.1167,0.1565,0.5814,0.613
0.8710,-0.0320,0.2031,0.6756,0.706
0.8790,0.1047,0.2472,0.5573,0.619
0.8910,0.0967,0.2353,0.3871,0.463
0.8990,-0.0188,0.1465,0.2020,0.250
0.9130,-0.1182,0.0923,0.1422,0.207
0.9200,-0.0673,0.0876,0.1072,0.154
0.9320,0.0439,0.1120,0.0471,0.129
0.9410,0.0644,0.0980,-0.0419,0.125
0.9530,0.0142,-0.0011,-0.0895,0.091
0.9600,-0.0091,-0.1047,-0.1024,0.147
0.9810,0.0907,-0.0992,-0.0479,0.143
0.9870,0.1261,-0.0785,0.0537,0.158
0.9900,0.1339,-0.1254,0.0840,0.202
1.0000,0.1710,-0.2057,0.1019,0.286
1.0100,0.2405,-0.2428,0.1590,0.377
1.0200,0.2917,-0.2580,0.1733,0.426
1.0310,0.2506,-0.2105,0.1482,0.359
1.0400,0.1865,-0.1861,0.0617,0.271
1.0530,0.1335,-0.2041,-0.0471,0.248
1.0590,0.0573,-0.2359,-0.2148,0.324
1.0700,0.0303,-0.1225,-0.4234,0.442
1.0810,0.1454,-0.0342,-0.4869,0.509
1.0910,0.5172,-0.0555,-0.4531,0.690
1.1030,0.4658,-0.1025,-0.3015,0.564
1.1100,-0.0605,-0.1414,-0.0366,0.158
1.1230,-0.3679,-0.0590,-0.2384,0.442
1.1340,-0.4245,0.1125,-0.5046,0.669
1.1400,-0.3674,0.2126,-0.6109,0.744
1.1520,-0.2556,0.1248,-0.6102,0.673
1.1590,-0.1600,0.0503,-0.4143,0.447
1.1710,-0.0461,-0.0692,-0.2178,0.233
1.1830,0.0231,-0.0747,-0.1883,0.204
1.1900,-0.0261,-0.0030,-0.1272,0.130
1.2030,-0.0723,0.0960,0.0612,0.135
1.2160,-0.0835,0.1681,0.2538,0.316
1.2220,-0.1113,0.1611,0.3275,0.382
1.2330,-0.1098,0.1493,0.2592,0.319
1.2460,-0.1316,0.1432,0.1345,0.236
1.2510,-0.1416,0.1446,-0.0111,0.203
1.2650,-0.1613,0.1823,-0.0850,0.258
1.2710,-0.1310,0.1539,-0.1465,0.250
1.2800,-0.0662,0.1144,-0.1331,0.188
1.2910,-0.0194,0.0466,-0.0827,0.097
1.2990,-0.0128,-0.0230,-0.0420,0.050
1.3100,-0.0276,-0.0325,-0.0084,0.043
1.3310,-0.0448,0.0275,-0.0193,0.056
1.3330,-0.0302,0.0691,-0.1149,0.137
1.3400,-0.0171,0.0222,-0.2157,0.218
1.3520,-0.0183,-0.0083,-0.2218,0.223
1.3610,0.0046,-0.0177,-0.1709,0.172
1.3720,0.0241,-0.0287,-0.2169,0.220
1.3810,0.0913,-0.0876,-0.2786,0.306
1.3920,0.0750,-0.1478,-0.1214,0.205
1.4010,0.0387,-0.1555,0.0780,0.178
1.4120,0.0579,-0.1781,0.2075,0.280
1.4210,0.1245,-0.1835,0.1997,0.298
1.4340,0.1339,-0.1605,0.1048,0.234
1.4400,0.1292,-0.1240,0.0584,0.188
1.4530,0.1066,-0.1147,0.0079,0.157
1.4590,0.1121,-0.1316,-0.0843,0.192
1.4710,0.1417,-0.1606,-0.1013,0.237
1.4820,0.1984,-0.1861,-0.0640,0.279
1.4910,0.2253,-0.1772,-0.0880,0.300
1.5000,0.1234,-0.1018,-0.2222,0.274
1.5110,-0.0542,-0.0882,-0.1230,0.161
1.5200,-0.0596,-0.0792,-0.1278,0.162
1.5350,-0.0506,-0.1234,0.3028,0.331
1.5400,0.1549,-0.1746,0.3287,0.403
1.5530,0.1904,-0.1811,0.1618,0.309
1.5640,0.0573,-0.1558,0.0541,0.175
1.5730,-0.0175,-0.1344,-0.0121,0.136
1.5810,-0.0232,-0.0859,-0.0399,0.097
1.5930,0.0093,-0.0394,0.0469,0.062
1.6010,0.0908,-0.0626,0.0673,0.129
1.6120,0.0827,-0.0960,0.0286,0.130
1.6220,0.0458,-0.1269,-0.0700,0.152
1.6320,-0.0593,-0.0835,-0.1422,0.175
1.6440,-0.0992,-0.0316,-0.1293,0.166
1.6520,-0.0261,-0.0646,-0.0004,0.070
1.6600,0.0982,-0.1066,0.0729,0.162
1.6730,0.2346,-0.1343,0.0180,0.271
1.6830,0.2296,-0.1316,0.0162,0.265
1.6910,0.0894,-0.1659,0.0053,0.188
1.7030,0.0199,-0.1429,-0.0068,0.144
1.7120,-0.0053,-0.0669,-0.0542,0.086
1.7300,-0.0225,-0.0457,-0.1023,0.114
1.7360,-0.0031,-0.0825,-0.1094,0.137
1.7420,0.0085,-0.1325,-0.0793,0.155
1.7510,0.0900,-0.1760,-0.0817,0.214
1.7620,0.1068,-0.1481,-0.1191,0.218
1.7740,0.0194,-0.1155,-0.0272,0.120
1.7970,-0.0530,-0.0467,0.1542,0.170
1.7980,-0.1438,0.0236,0.3271,0.358
1.8010,-0.1779,-0.0158,0.2333,0.294
1.8120,0.0110,-0.1174,0.0448,0.126
1.8200,0.2007,-0.1963,-0.0731,0.290
1.8310,0.2490,-0.1889,-0.0181,0.313
1.8400,0.1745,-0.1033,0.2366,0.312
1.8520,0.0218,-0.0398,0.2869,0.290
1.8600,-0.0942,-0.0574,0.1825,0.213
1.8700,-0.0931,-0.0557,-0.0370,0.115
1.8810,-0.0356,-0.0664,-0.1923,0.206
1.8900,0.0306,-0.0301,-0.3949,0.397
1.9010,-0.0655,0.0324,-0.4203,0.427
1.9100,-0.1971,0.0732,-0.3395,0.399
1.9380,-0.2248,0.0698,-0.3013,0.382
1.9390,-0.0798,0.0733,-0.3460,0.363
1.9460,0.1098,0.0495,-0.4615,0.477
1.9500,0.1827,0.0019,-0.4896,0.523
1.9590,0.1356,-0.0200,-0.4265,0.448
1.9710,0.1179,-0.0532,-0.3373,0.361
1.9790,0.1135,-0.0523,-0.1742,0.214
1.9900,0.0929,-0.0368,0.0245,0.103
1.9990,0.0657,-0.0862,0.2113,0.237
2.0100,0.0929,-0.0486,0.2975,0.315
2.0220,0.1309,-0.0623,0.1683,0.222
2.0340,0.1360,-0.0749,0.0632,0.168
2.0390,0.1351,-0.0710,-0.0471,0.160
2.0520,0.0916,-0.0538,-0.0483,0.117
2.0600,0.0357,-0.0164,0.0348,0.053
2.0720,-0.0374,-0.0324,0.1088,0.120
2.0800,-0.0430,-0.0382,0.1141,0.128
2.0910,-0.0246,-0.0430,0.0489,0.070
2.1010,0.0623,-0.0828,-0.0120,0.104
2.1100,0.0895,-0.1181,-0.2062,0.254
2.1220,-0.0064,-0.1670,-0.4153,0.448
2.1350,-0.0269,-0.0604,-0.2973,0.305
2.1410,-0.0534,-0.0529,-0.1377,0.157
2.1520,-0.0048,-0.0529,-0.1562,0.165
2.1590,0.0026,-0.0462,-0.2326,0.237
2.1720,0.0007,-0.0842,-0.2416,0.256
2.1790,0.0432,-0.0451,-0.1825,0.193
2.1900,0.0315,-0.0253,-0.1596,0.165
2.2000,0.0375,-0.0202,-0.1610,0.167
2.2100,0.0076,-0.0248,-0.0195,0.032
2.2200,0.0477,-0.0756,-0.0663,0.111
2.2330,-0.0040,-0.0763,-0.0691,0.103
2.2390,-0.0644,-0.0216,-0.0099,0.069
2.2560,-0.0991,0.0444,0.0014,0.109
2.2620,-0.1487,0.0385,0.0198,0.155
2.2740,-0.1093,0.0287,0.0464,0.122
2.2790,-0.1305,0.0480,0.1252,0.187
2.2900,-0.1123,0.0699,0.1260,0.183
2.3020,-0.0145,-0.0095,-0.0074,0.019
2.3100,-0.0009,-0.0104,-0.1644,0.165
2.3230,-0.0660,-0.0096,-0.1761,0.188
2.3350,-0.1084,0.0018,-0.2205,0.246
2.3410,-0.1749,0.0525,-0.1602,0.243
2.3540,-0.3945,0.1606,0.0671,0.431
2.3600,-0.5784,0.2655,0.1278,0.649
2.3770,-0.7071,0.3064,-0.1710,0.789
2.3870,-0.5714,0.2358,-0.4320,0.754
2.3920,-0.1241,0.0553,-0.4951,0.513
2.4020,0.3742,-0.1690,-0.4196,0.587
2.4110,0.7432,-0.4716,-0.1569,0.894
2.4200,0.9933,-0.6997,0.1009,1.219
2.4300,1.0541,-0.7455,0.2417,1.314
2.4390,0.5984,-0.6335,0.3559,0.941
2.4520,0.0097,-0.3410,0.2430,0.419
2.4600,-0.4573,0.0178,0.0328,0.459
2.4720,-0.7731,0.2276,-0.2565,0.846
2.4790,-0.7261,0.3115,-0.3571,0.867
2.4900,-0.4226,0.2773,-0.2478,0.563
2.5020,0.2940,-0.0865,-0.3035,0.431
2.5110,0.8835,-0.4837,-0.3210,1.057
2.5200,1.0602,-0.5386,-0.3301,1.234
2.5300,0.5397,-0.3065,-0.2810,0.681
2.5430,-0.0300,-0.1082,-0.2387,0.264
2.5530,-0.3788,-0.2615,-0.1609,0.488
2.5620,-0.2316,-0.1576,0.2199,0.356
2.5710,0.0556,0.2410,0.5996,0.649
2.5810,-0.0816,0.5302,0.6842,0.869
2.5900,-0.4890,0.2767,0.1767,0.589
2.6390,-1.0499,-0.1058,-0.5793,1.204
2.6420,-0.9415,-0.2783,-0.7722,1.249
2.6430,-0.1127,-0.0369,-0.1661,0.204
2.6440,0.5916,0.1408,0.4077,0.732
2.6450,0.8176,-0.0852,0.4250,0.925
2.6520,0.6707,-0.4369,-0.0150,0.801
2.6600,0.5482,-0.6503,-0.3571,0.922
2.6710,0.6313,-0.6108,-0.2819,0.923
2.6800,0.7441,-0.6094,-0.1104,0.968
2.6910,0.7194,-0.6283,0.0071,0.955
2.7010,0.6284,-0.5230,0.0843,0.822
2.7100,0.5154,-0.3769,0.1592,0.658
2.7310,0.3819,-0.2247,0.2236,0.496
2.7390,0.1013,-0.1572,0.1900,0.267
2.7430,-0.1607,-0.0518,0.1156,0.205
2.7550,-0.2245,0.0632,-0.0796,0.246
2.7720,-0.1773,0.1889,-0.1719,0.311
2.7720,-0.1909,0.2554,-0.2385,0.398
2.8010,-0.2399,0.2592,-0.2418,0.428
2.8020,-0.3520,0.1905,-0.2380,0.466
2.8020,-0.3989,0.1817,-0.1256,0.456
2.8100,-0.3972,0.2228,0.0708,0.461
2.8210,-0.3547,0.2077,0.3010,0.509
2.8300,-0.3017,0.1291,0.4180,0.531
