time,ax,ay,az,aT
1.2660,0.1673,0.0247,0.0358,0.173
1.2680,0.0400,-0.0699,0.2176,0.232
1.2730,0.1622,-0.0807,0.1794,0.255
1.2810,0.1761,-0.0944,-0.1260,0.236
1.2920,0.0316,-0.0529,-0.2653,0.272
1.3030,-0.2376,-0.0074,-0.3451,0.419
1.3160,-0.1497,0.0663,-0.2834,0.327
1.3270,0.1539,0.1413,-0.1442,0.254
1.3340,0.2751,0.1379,-0.1282,0.333
1.3410,0.1696,0.1005,-0.0982,0.220
1.3510,0.0889,0.0844,-0.0192,0.124
1.3610,-0.0559,0.0384,0.1257,0.143
1.3730,-0.1796,0.0248,0.1919,0.264
1.3800,-0.2483,0.0459,0.1510,0.294
1.3930,-0.1837,0.0465,0.0893,0.210
1.4010,-0.0777,0.0142,-0.0156,0.081
1.4130,0.0132,0.0165,-0.0850,0.088
1.4230,0.0958,0.0261,-0.0043,0.099
1.4330,0.2151,0.0396,0.1018,0.241
1.4470,0.2126,0.0402,0.1255,0.250
1.4520,0.1121,0.0397,0.1204,0.169
1.4620,-0.0306,0.0375,-0.0223,0.053
1.4730,-0.1096,0.0605,-0.0906,0.155
1.4810,-0.1213,0.0481,-0.1155,0.174
1.4930,-0.1159,0.0098,-0.1273,0.172
1.5000,-0.1477,-0.0501,-0.1977,0.252
1.5120,-0.1434,-0.1458,-0.2155,0.297
1.5330,-0.0639,-0.1496,-0.1961,0.255
1.5370,-0.1137,-0.1397,-0.2411,0.301
1.5430,-0.1345,-0.1233,-0.2213,0.287
1.5530,-0.1157,-0.0900,-0.1570,0.215
1.5620,-0.1088,-0.0734,-0.1834,0.225
1.5730,-0.1055,-0.0515,-0.1435,0.185
1.5820,-0.1013,-0.0221,-0.0385,0.111
1.5930,-0.0783,0.0042,0.0538,0.095
1.6020,-0.0730,-0.0875,0.1382,0.179
1.6110,-0.2084,-0.1716,0.0110,0.270
1.6260,-0.3712,-0.2684,-0.2989,0.547
1.6370,-0.3591,-0.2620,-0.5233,0.687
1.6440,-0.1782,-0.1650,-0.5857,0.634
1.6540,0.0870,-0.0481,-0.3375,0.352
1.6610,0.2749,0.0324,-0.1940,0.338
1.6720,0.1829,0.0264,0.0794,0.201
1.6800,0.1333,0.0908,0.4268,0.456
1.6930,0.0597,0.1342,0.3709,0.399
1.7010,0.1494,0.2107,-0.1429,0.295
1.7140,0.1599,0.1917,-0.4964,0.556
1.7230,0.0271,0.1868,-0.3657,0.412
1.7330,-0.0497,0.1927,-0.2219,0.298
