time,ax,ay,az,aT
2.8990,-0.5122,-0.0430,-0.1292,0.530
2.9080,-0.0224,0.0298,-0.3452,0.347
2.9170,0.3228,-0.0912,-0.2648,0.427
2.9290,-2.0247,-0.6981,0.2017,2.151
2.9370,-0.6936,0.1502,-0.4762,0.855
2.9480,0.3287,0.9458,-0.4634,1.103
2.9570,0.2109,0.3369,-0.8486,0.937
2.9700,0.0161,-0.1470,-0.7426,0.757
2.9910,0.0373,-0.0496,0.0482,0.079
2.9950,0.2750,0.0812,0.4801,0.559
2.9970,0.3312,-0.0390,0.5251,0.622
3.0080,0.3525,-0.1138,0.4244,0.563
3.0170,0.3282,-0.1676,0.2824,0.464
3.0280,0.3980,-0.1706,-0.0638,0.438
3.0360,0.5138,-0.1381,-0.3324,0.627
3.0470,0.5487,-0.1513,-0.3531,0.670
3.0570,0.4119,-0.1626,-0.1407,0.465
3.0680,0.3016,-0.1494,0.0735,0.345
3.0800,0.2900,-0.1373,0.0086,0.321
3.0880,0.2980,-0.1310,-0.2621,0.418
3.0970,0.4150,-0.1511,-0.4410,0.624
3.1110,0.4332,-0.1839,-0.4212,0.632
3.1240,0.3940,-0.2525,-0.3440,0.581
3.1300,0.3832,-0.2501,-0.3002,0.547
3.1420,0.4357,-0.1905,-0.3099,0.568
3.1530,0.5721,-0.1411,-0.4968,0.771
3.1570,0.4826,-0.2231,-0.6286,0.823
3.1680,0.2911,-0.2936,-0.6942,0.808
3.1790,0.2028,-0.3041,-0.6470,0.743
3.1880,0.1479,-0.3965,-0.6626,0.786
3.1970,-0.0550,-0.4843,-0.7257,0.874
3.2090,-0.1351,-0.5399,-1.0484,1.187
3.2180,-0.1780,-0.5609,-1.4456,1.561
3.2310,-0.3278,-0.5518,-1.8795,1.986
3.2370,-0.3029,-0.5902,-2.1973,2.295
3.2480,0.0433,-0.6843,-2.2871,2.388
3.2580,0.4744,-0.8335,-2.5117,2.689
3.2680,0.2164,-0.8458,-2.5550,2.700
3.2770,-0.1112,-0.7803,-2.8843,2.990
3.2880,-0.0644,-0.8475,-3.2649,3.374
3.3020,0.1098,-1.0357,-3.1158,3.285
3.3080,0.5818,-1.0709,-2.2882,2.592
3.3170,0.5134,-0.9537,-0.7062,1.293
3.3280,0.0985,-0.8484,0.2793,0.899
3.3380,0.1243,-0.8798,0.7367,1.154
3.3500,0.3724,-0.9139,1.1829,1.540
3.3570,0.8324,-0.9123,1.6396,2.053
3.3720,1.4658,-0.8827,1.9968,2.630
3.3850,1.8084,-1.0244,2.4119,3.184
3.3890,1.7551,-0.9185,2.8346,3.458
3.4050,0.9134,-0.3074,2.9547,3.108
3.4090,1.1622,-0.3092,3.1583,3.380
3.4170,0.3500,-0.1036,2.0243,2.057
3.4290,-0.6948,-0.4025,-0.3514,0.876
3.4380,-0.6441,-0.4385,0.1426,0.792
3.4490,-0.6359,-0.4336,1.0434,1.297
3.4570,-0.4214,-0.2859,2.0490,2.111
3.4720,-0.3980,-0.0512,2.6209,2.651
3.4790,-0.5986,-0.0830,2.5026,2.575
3.4890,-0.8466,-0.3594,2.4534,2.620
3.5040,-0.9597,-0.6176,2.5639,2.806
3.5090,-0.6214,-0.5901,2.5767,2.715
3.5160,-0.2542,-0.4549,2.5723,2.625
3.5350,-0.4742,-0.4424,2.4663,2.550
3.5370,-0.9266,-0.6670,2.2861,2.555
3.5480,-1.4491,-1.0848,1.8409,2.582
3.5570,-2.1087,-1.1592,1.4266,2.797
3.5710,-3.4104,-0.5882,0.3014,3.474
3.5780,-4.7277,0.1745,-1.5770,4.987
3.5900,-5.3120,0.7890,-3.4630,6.390
3.5970,-4.5117,0.9824,-4.7924,6.655
